Product_Name,Reviews,somejunk,category,sub-category-1,sub-category-2,ingredients,India priceINR per 100g,US price $ per 100g
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,water aqua eau,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,octocrylene,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,carthamus tinctorius (safflower) oleosomes,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,butylene glycol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,homosalate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,dimethicone,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,butyl methoxydibenzoylmethane,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,ethylhexyl salicylate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,c12-15 alkyl benzoate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,propanediol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,polysorbate 80,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,palmitoyl tetrapeptide-7,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,dipotassium glycyrrhizate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,aniba rosodora (rosewood) wood oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,camellia sinensis leaf extract,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,pelargonium graveolens flower oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,eugenia caryophyllus (clove) leaf oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,laminaria digitata extract,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,saccharomyces cerevisiae extract,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,rosa damascena flower oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,eugenia caryophyllus (clove) bud oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,citrus limon (lemon) peel oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,cupressus sempervirens leaf oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,cymbopogon martini oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,cymbopogon schoenanthus oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,citrus limon (lemon) peel extract,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,eucalyptus globulus leaf oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,helianthus annuus (sunflower) seed oil,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,tocopherol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,squalane,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,caprylyl glycol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,acrylate crosspolymer,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,carnosine,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,lecithin,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,urea,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,caprylic triglyceride,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,glycerin,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,pentylene glycol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,bisabolol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,glucosamine hcl,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,ethylhexylglycerin,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,"1,1,2-hexanediol",500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,titanium dioxide,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,gluconolactone,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,polysorbate 60,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,trisodium ethylenediamine disuccinate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,sorbitan isostearate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,decyl glucoside,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,aminomethyl propanol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,sodium acryloyldimethyl taurate copolymer,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,polysilicone-11,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,sodium acrylates copolymer,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,phenethyl alcohol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,sodium benzoate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,linalool,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,eugenol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,limonene,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,citronellol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,geraniol,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,benzyl benzoate,500,50
Dynamic Skin Recovery SPF 50 Moisturizer,4.7,"2,158",Skin Care,Moisturizers,Face Moisturizer,citral,500,50
